"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38904 - Image
11/20/2020 01:27:28
http://10.37.248.147/njta/202011/20201120/18W_09w/01318W_09wW2020112001272838SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV44922 - Image
11/20/2020 01:21:49
http://10.37.248.147/njta/202011/20201120/19W_01s/01319W_01sS2020112001214960SV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV43494 - Image
11/20/2020 00:37:52
http://10.37.248.147/njta/202011/20201120/013_08w/013013_08wW2020112000375230SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43778 - Image
11/19/2020 23:34:38
http://10.37.248.147/drba/202011/20201119/DMB_06_/016DMB_06_W2020111923343800SV_02.jpg
 06 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43778 - Image
11/19/2020 23:28:43
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111923284323SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV36437 - Image
11/19/2020 23:23:47
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111923234705SV_02.jpg
 07w - 6  
OPEN
$22.45
$50.00
$0.00
$72.45","
 HV20087 - Image
11/19/2020 22:44:37

 09w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV43220 - Image
11/19/2020 16:37:32
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111916373289SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40555 - Image
11/19/2020 23:14:15
http://10.37.248.147/njta/202011/20201119/013_08w/013013_08wW2020111923141556SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV40754 - Image
11/19/2020 22:32:22
http://10.37.248.147/njta/202011/20201119/06A_01s/01306A_01sS2020111922322217SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV39321 - Image
11/19/2020 21:03:34

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44669 - Image
11/19/2020 20:59:47
http://10.37.248.147/njta/202011/20201119/012_08w/013012_08wW2020111920594795SV_02.jpg
 08w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV36512 - Image
11/19/2020 20:55:13
http://10.37.248.147/njta/202011/20201119/15E_12w/01315E_12wW2020111920551383SV_02.jpg
 12w - 15E
OPEN
$14.90
$50.00
$0.00
$64.90"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45773 - Image
11/19/2020 22:34:04
http://10.37.248.147/dr/202011/20201119/3___06W/0073___06WW2020111922340400SV_02.jpg
 06W - WWB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43302 - Image
11/19/2020 21:23:56
http://10.37.248.147/njta/202011/20201119/15W_07w/01315W_07wW2020111921235670SV_02.jpg
 07w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV44135 - Image
11/19/2020 13:57:00
http://10.37.248.147/njta/202011/20201119/012_11w/013012_11wW2020111913570046SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV37600 - Image
11/19/2020 10:59:41
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111910594124SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV19805 - Image
11/19/2020 03:42:17
http://10.37.248.147/njta/202011/20201119/012_11w/013012_11wW2020111903421794SV_02.jpg
 11w - 12 
OPEN
$1.65
$50.00
$0.00
$51.65","
 HV37777 - Image
11/19/2020 03:41:51
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111903415165SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39954 - Image
11/19/2020 20:39:12
http://10.37.248.147/njta/202011/20201119/013_11w/013013_11wW2020111920391203SV_02.jpg
 11w - 13 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV38904 - Image
11/19/2020 17:52:24
http://10.37.248.147/njta/202011/20201119/011_20w/013011_20wW2020111917522434SV_02.jpg
 20w - 11 
OPEN
$19.40
$50.00
$0.00
$69.40","
 HV14756 - Image
11/19/2020 16:44:55
http://10.37.248.147/njta/202011/20201119/013_04w/013013_04wW2020111916445501SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20821 - Image
11/19/2020 16:18:52
http://10.37.248.147/njta/202011/20201119/013_08w/013013_08wW2020111916185292SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38950 - Image
11/19/2020 15:42:48
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111915424892SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38235 - Image
11/19/2020 20:24:19
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111920241928SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV40686 - Image
11/19/2020 05:24:38
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111905243878SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV01663 - Image
11/19/2020 03:06:00
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111903060051SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43013 - Image
11/19/2020 18:09:47
http://10.37.248.147/drjt/202011/20201119/DWG_04W/020DWG_04WN2020111918094746SV_02.jpg
 04W - DWG
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV43056 - Image
11/19/2020 12:34:39
http://10.37.248.147/drjt/202011/20201119/ODW_21W/020ODW_21WN2020111912343903SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV43142 - Image
11/19/2020 06:31:30
http://10.37.248.147/drjt/202011/20201119/TM__04W/020TM__04WN2020111906313072SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV45300 - Image
11/19/2020 03:11:41
http://10.37.248.147/drjt/202011/20201119/TM__04W/020TM__04WN2020111903114149SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45653 - Image
11/19/2020 16:21:11
http://10.37.248.147/njta/202011/20201119/001_16w/013001_16wW2020111916211127SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV40693 - Image
11/19/2020 15:16:09
http://10.37.248.147/njta/202011/20201119/18W_08w/01318W_08wW2020111915160971SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36674 - Image
11/19/2020 14:10:12
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111914101284SV_02.jpg
 09w - 18W
OPEN
$13.00
$50.00
$0.00
$63.00","
 HV39370 - Image
11/19/2020 11:21:00

 06w - 4  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37600 - Image
11/19/2020 09:37:33

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39709 - Image
11/19/2020 16:15:09
http://10.37.248.147/drba/202011/20201119/DMB_03_/016DMB_03_W2020111916150900SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36585 - Image
11/19/2020 15:22:04
http://10.37.248.147/drba/202011/20201119/DMB_11_/016DMB_11_W2020111915220400SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV40551 - Image
11/19/2020 01:32:00
http://10.37.248.147/drba/202011/20201119/DMB_03_/016DMB_03_W2020111901320000SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38825 - Image
11/19/2020 00:29:18
http://10.37.248.147/drba/202011/20201119/DMB_03_/016DMB_03_W2020111900291800SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV00988 - Image
11/19/2020 00:26:00
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111900260000SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36585 - Image
11/19/2020 15:15:35
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111915153547SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV20089 - Image
11/19/2020 14:21:22

 05w - 10 
OPEN
$22.45
$50.00
$0.00
$72.45","
 HV44744 - Image
11/19/2020 14:15:44
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111914154457SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV14756 - Image
11/19/2020 08:44:51
http://10.37.248.147/njta/202011/20201119/008_05w/013008_05wW2020111908445141SV_02.jpg
 05w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV40551 - Image
11/19/2020 08:32:49
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111908324955SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44174 - Image
11/19/2020 09:02:14
http://10.37.248.147/njta/202011/20201119/012_10w/013012_10wW2020111909021459SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV20311 - Image
11/19/2020 07:08:35
http://10.37.248.147/njta/202011/20201119/008_05w/013008_05wW2020111907083535SV_02.jpg
 05w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37600 - Image
11/19/2020 06:44:25
http://10.37.248.147/njta/202011/20201119/15E_12w/01315E_12wW2020111906442588SV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV15226 - Image
11/19/2020 04:11:31
http://10.37.248.147/njta/202011/20201119/06A_01s/01306A_01sS2020111904113192SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV40551 - Image
11/19/2020 01:26:59
http://10.37.248.147/njta/202011/20201119/001_16w/013001_16wW2020111901265980SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV30829 - Image
11/19/2020 07:52:04

 06w - 4  
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV43482 - Image
11/19/2020 07:37:02
http://10.37.248.147/njta/202011/20201119/010_09w/013010_09wW2020111907370218SV_02.jpg
 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV44513 - Image
11/19/2020 07:32:23
http://10.37.248.147/njta/202011/20201119/008_04w/013008_04wW2020111907322319SV_02.jpg
 04w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV15136 - Image
11/19/2020 05:22:11
http://10.37.248.147/njta/202011/20201119/013_08w/013013_08wW2020111905221184SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38036 - Image
11/19/2020 04:00:49
http://10.37.248.147/njta/202011/20201119/07A_13w/01307A_13wW2020111904004946SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45366 - Image
11/19/2020 03:26:54
http://10.37.248.147/njta/202011/20201119/012_11w/013012_11wW2020111903265471SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV37777 - Image
11/19/2020 03:14:37
http://10.37.248.147/njta/202011/20201119/15E_07w/01315E_07wW2020111903143779SV_02.jpg
 07w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV19805 - Image
11/19/2020 02:34:45
http://10.37.248.147/njta/202011/20201119/014_26w/013014_26wW2020111902344543SV_02.jpg
 26w - 14 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV36876 - Image
11/19/2020 02:20:40
http://10.37.248.147/njta/202011/20201119/013_08w/013013_08wW2020111902204017SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV45214 - Image
11/19/2020 00:23:34
http://10.37.248.147/njta/202011/20201119/18E_15w/01318E_15wW2020111900233425SV_02.jpg
 15w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43236 - Image
11/19/2020 02:29:39
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111902293914SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV15136 - Image
11/19/2020 02:05:48
http://10.37.248.147/njta/202011/20201119/07A_13w/01307A_13wW2020111902054827SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44513 - Image
11/19/2020 02:01:12
http://10.37.248.147/njta/202011/20201119/005_04w/013005_04wW2020111902011208SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV38163 - Image
11/19/2020 00:45:00
http://10.37.248.147/njta/202011/20201119/013_04w/013013_04wW2020111900450037SV_02.jpg
 04w - 13 
OPEN
$15.55
$50.00
$0.00
$65.55","
 HV40551 - Image
11/19/2020 00:01:27

 07w - 9  
OPEN
$14.50
$50.00
$0.00
$64.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38825 - Image
11/18/2020 23:57:01
http://10.37.248.147/njta/202011/20201118/003_07w/013003_07wW2020111823570163SV_02.jpg
 07w - 3  
OPEN
$62.95
$50.00
$0.00
$112.95","
 HV36486 - Image
11/18/2020 22:06:48
http://10.37.248.147/njta/202011/20201118/001_15w/013001_15wW2020111822064818SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38105 - Image
11/18/2020 23:46:09

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17694 - Image
11/18/2020 23:31:48

 08w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV19601 - Image
11/18/2020 23:14:32

 04w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV38455 - Image
11/18/2020 22:47:55
http://10.37.248.147/njta/202011/20201118/18W_09w/01318W_09wW2020111822475518SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38105 - Image
11/18/2020 22:13:39
http://10.37.248.147/njta/202011/20201118/16W_07w/01316W_07wW2020111822133961SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV36876 - Image
11/18/2020 21:55:56
http://10.37.248.147/njta/202011/20201118/012_09w/013012_09wW2020111821555642SV_02.jpg
 09w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43072 - Image
11/18/2020 23:24:43
http://10.37.248.147/dr/202011/20201118/4___07W/0074___07WW2020111823244300SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45836 - Image
11/18/2020 23:16:23
http://10.37.248.147/drjt/202011/20201118/O78_11W/020O78_11WN2020111823162364SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV20218 - Image
11/18/2020 20:58:00
http://10.37.248.147/drjt/202011/20201118/O78_12W/020O78_12WN2020111820580077SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV44857 - Image
11/18/2020 17:51:24
http://10.37.248.147/drjt/202011/20201118/O78_12W/020O78_12WN2020111817512406SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36486 - Image
11/18/2020 22:12:20
http://10.37.248.147/drba/202011/20201118/DMB_04_/016DMB_04_W2020111822122000SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV44476 - Image
11/18/2020 20:37:44
http://10.37.248.147/drba/202011/20201118/DMB_11_/016DMB_11_W2020111820374400SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV45704 - Image
11/18/2020 17:25:00
http://10.37.248.147/drba/202011/20201118/DMB_11_/016DMB_11_W2020111817250000SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
