"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
 HV14847 - Image
11/07/2020 23:29:38
http://10.37.248.147/drba/202011/20201107/DMB_11_/016DMB_11_W2020110723293800SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36515 - Image
11/07/2020 15:59:56
http://10.37.248.147/drba/202011/20201107/DMB_11_/016DMB_11_W2020110715595600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV19739 - Image
11/07/2020 14:28:34
http://10.37.248.147/drba/202011/20201107/DMB_05_/016DMB_05_W2020110714283400SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38656 - Image
11/07/2020 23:12:34
http://10.37.248.147/drba/202011/20201107/DMB_09_/016DMB_09_W2020110723123400SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV37602 - Image
11/07/2020 18:44:14
http://10.37.248.147/drba/202011/20201107/DMB_09_/016DMB_09_W2020110718441400SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV45359 - Image
11/07/2020 15:13:37
http://10.37.248.147/drba/202011/20201107/DMB_05_/016DMB_05_W2020110715133700SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36813 - Image
11/07/2020 11:37:22
http://10.37.248.147/drba/202011/20201107/DMB_05_/016DMB_05_W2020110711372200SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV45814 - Image
11/07/2020 01:13:30
http://10.37.248.147/drba/202011/20201107/DMB_11_/016DMB_11_W2020110701133000SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36481 - Image
11/07/2020 22:57:11
http://10.37.248.147/njta/202011/20201107/012_13w/013012_13wW2020110722571170SV_02.jpg
 13w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV19938 - Image
11/07/2020 22:52:32
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110722523261SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37040 - Image
11/07/2020 22:46:09
http://10.37.248.147/njta/202011/20201107/012_11w/013012_11wW2020110722460947SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV28705 - Image
11/07/2020 22:27:49
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110722274924SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV39186 - Image
11/07/2020 22:02:41
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110722024186SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV46028 - Image
11/07/2020 21:30:05
http://10.37.248.147/njta/202011/20201107/07A_13w/01307A_13wW2020110721300551SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV38875 - Image
11/07/2020 21:05:11
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110721051153SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV40246 - Image
11/07/2020 20:37:40
http://10.37.248.147/njta/202011/20201107/012_14w/013012_14wW2020110720374098SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV17718 - Image
11/07/2020 20:33:12
http://10.37.248.147/njta/202011/20201107/013_08w/013013_08wW2020110720331223SV_02.jpg
 08w - 13 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV20988 - Image
11/07/2020 20:24:46
http://10.37.248.147/njta/202011/20201107/17S_03s/01317S_03sS2020110720244689SV_02.jpg
 03s - 17S
OPEN
$7.60
$50.00
$0.00
$57.60"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19218 - Image
11/07/2020 19:19:21
http://10.37.248.147/njta/202011/20201107/18W_08w/01318W_08wW2020110719192105SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36945 - Image
11/07/2020 19:05:15
http://10.37.248.147/njta/202011/20201107/004_06w/013004_06wW2020110719051500SV_02.jpg
 06w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV37855 - Image
11/07/2020 17:45:18
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110717451871SV_02.jpg
 10w - 12 
OPEN
$3.75
$50.00
$0.00
$53.75","
 HV37429 - Image
11/07/2020 17:41:12
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110717411221SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV17377 - Image
11/07/2020 16:59:18
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110716591800SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36945 - Image
11/07/2020 19:14:49
http://10.37.248.147/dr/202011/20201107/1___11W/0071___11WW2020110719144900SV_02.jpg
 11W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37079 - Image
11/07/2020 16:37:20
http://10.37.248.147/njta/202011/20201107/18E_11w/01318E_11wW2020110716372057SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV18502 - Image
11/07/2020 16:30:15
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110716301582SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV15034 - Image
11/07/2020 16:30:02
http://10.37.248.147/njta/202011/20201107/013_08w/013013_08wW2020110716300240SV_02.jpg
 08w - 13 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV36321 - Image
11/07/2020 16:09:58
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110716095850SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV37190 - Image
11/07/2020 15:50:05
http://10.37.248.147/njta/202011/20201107/010_06w/013010_06wW2020110715500503SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20684 - Image
11/07/2020 15:34:21
http://10.37.248.147/njta/202011/20201107/012_14w/013012_14wW2020110715342190SV_02.jpg
 14w - 12 
OPEN
$19.40
$50.00
$0.00
$69.40","
 HV45359 - Image
11/07/2020 14:53:08
http://10.37.248.147/njta/202011/20201107/002_04w/013002_04wW2020110714530871SV_02.jpg
 04w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV19218 - Image
11/07/2020 13:52:49
http://10.37.248.147/njta/202011/20201107/012_14w/013012_14wW2020110713524982SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV36441 - Image
11/07/2020 13:39:43
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110713394315SV_02.jpg
 10w - 7A 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV40246 - Image
11/07/2020 13:35:56
http://10.37.248.147/njta/202011/20201107/18E_11w/01318E_11wW2020110713355666SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36888 - Image
11/07/2020 13:22:47
http://10.37.248.147/drjt/202011/20201107/O78_11W/020O78_11WN2020110713224783SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV18577 - Image
11/07/2020 13:20:58
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110713205831SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV20121 - Image
11/07/2020 13:03:39
http://10.37.248.147/njta/202011/20201107/012_13w/013012_13wW2020110713033951SV_02.jpg
 13w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV20692 - Image
11/07/2020 10:57:43
http://10.37.248.147/njta/202011/20201107/005_04w/013005_04wW2020110710574336SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV36672 - Image
11/07/2020 10:20:24

 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV18886 - Image
11/07/2020 09:28:43
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110709284310SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36477 - Image
11/07/2020 11:54:18
http://10.37.248.147/drjt/202011/20201107/O78_11W/020O78_11WN2020110711541846SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV38085 - Image
11/07/2020 02:27:41
http://10.37.248.147/drjt/202011/20201107/TM__04W/020TM__04WN2020110702274134SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV19995 - Image
11/07/2020 02:18:22
http://10.37.248.147/drjt/202011/20201107/O78_12W/020O78_12WN2020110702182298SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19218 - Image
11/07/2020 09:23:49
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110709234965SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV17377 - Image
11/07/2020 08:34:37
http://10.37.248.147/njta/202011/20201107/013_04w/013013_04wW2020110708343731SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38335 - Image
11/07/2020 08:23:39
http://10.37.248.147/njta/202011/20201107/013_08w/013013_08wW2020110708233975SV_02.jpg
 08w - 13 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV46004 - Image
11/07/2020 08:20:50
http://10.37.248.147/njta/202011/20201107/013_04w/013013_04wW2020110708205043SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV17766 - Image
11/07/2020 07:56:51
http://10.37.248.147/njta/202011/20201107/010_06w/013010_06wW2020110707565178SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15075 - Image
11/07/2020 06:22:46
http://10.37.248.147/drba/202011/20201107/DMB_04_/016DMB_04_W2020110706224600SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36347 - Image
11/07/2020 04:42:26
http://10.37.248.147/drba/202011/20201107/DMB_12_/016DMB_12_W2020110704422600SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV01538 - Image
11/07/2020 04:25:01
http://10.37.248.147/drba/202011/20201107/DMB_11_/016DMB_11_W2020110704250100SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV45787 - Image
11/07/2020 01:57:02
http://10.37.248.147/drba/202011/20201107/DMB_10_/016DMB_10_W2020110701570200SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV15048 - Image
11/07/2020 01:44:51
http://10.37.248.147/drba/202011/20201107/DMB_10_/016DMB_10_W2020110701445100SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39030 - Image
11/07/2020 06:18:46
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110706184683SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37079 - Image
11/07/2020 05:51:16
http://10.37.248.147/njta/202011/20201107/013_11w/013013_11wW2020110705511675SV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV19562 - Image
11/07/2020 05:48:05
http://10.37.248.147/njta/202011/20201107/15W_12w/01315W_12wW2020110705480557SV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV19404 - Image
11/07/2020 05:47:10
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110705471049SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV19566 - Image
11/07/2020 05:43:12
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110705431242SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV02358 - Image
11/07/2020 05:08:37
http://10.37.248.147/njta/202011/20201107/06A_01s/01306A_01sS2020110705083786SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV19718 - Image
11/07/2020 04:37:34
http://10.37.248.147/njta/202011/20201107/19W_01s/01319W_01sS2020110704373475SV_02.jpg
 01s - 19W
OPEN
$5.85
$50.00
$0.00
$55.85","
 HV36347 - Image
11/07/2020 04:37:04
http://10.37.248.147/njta/202011/20201107/001_16w/013001_16wW2020110704370434SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV43657 - Image
11/07/2020 04:31:10
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110704311031SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV38985 - Image
11/07/2020 04:12:08
http://10.37.248.147/njta/202011/20201107/19W_01s/01319W_01sS2020110704120871SV_02.jpg
 01s - 19W
OPEN
$5.85
$50.00
$0.00
$55.85"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15217 - Image
11/07/2020 03:47:39
http://10.37.248.147/njta/202011/20201107/18W_08w/01318W_08wW2020110703473951SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV40767 - Image
11/07/2020 03:39:57
http://10.37.248.147/njta/202011/20201107/006_07w/013006_07wW2020110703395708SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV20524 - Image
11/07/2020 03:17:57
http://10.37.248.147/njta/202011/20201107/012_11w/013012_11wW2020110703175768SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV38599 - Image
11/07/2020 02:41:30

 04w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV37079 - Image
11/07/2020 02:25:00
http://10.37.248.147/njta/202011/20201107/010_09w/013010_09wW2020110702250012SV_02.jpg
 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19943 - Image
11/07/2020 02:21:34
http://10.37.248.147/njta/202011/20201107/012_10w/013012_10wW2020110702213482SV_02.jpg
 10w - 12 
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV37429 - Image
11/07/2020 02:05:08
http://10.37.248.147/njta/202011/20201107/012_11w/013012_11wW2020110702050882SV_02.jpg
 11w - 12 
OPEN
$1.65
$50.00
$0.00
$51.65","
 HV13385 - Image
11/07/2020 01:47:59
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110701475949SV_02.jpg
 09w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV20449 - Image
11/07/2020 01:42:25
http://10.37.248.147/njta/202011/20201107/013_08w/013013_08wW2020110701422513SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV19668 - Image
11/07/2020 01:35:57
http://10.37.248.147/njta/202011/20201107/13A_13w/01313A_13wW2020110701355738SV_02.jpg
 13w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV18120 - Image
11/07/2020 01:27:16
http://10.37.248.147/njta/202011/20201107/07A_10w/01307A_10wW2020110701271636SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV44623 - Image
11/07/2020 01:26:11
http://10.37.248.147/njta/202011/20201107/18W_09w/01318W_09wW2020110701261195SV_02.jpg
 09w - 18W
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV13365 - Image
11/07/2020 01:24:45

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV19324 - Image
11/07/2020 00:51:46
http://10.37.248.147/njta/202011/20201107/012_13w/013012_13wW2020110700514652SV_02.jpg
 13w - 12 
OPEN
$4.75
$50.00
$0.00
$54.75","
 HV45492 - Image
11/07/2020 00:39:49
http://10.37.248.147/njta/202011/20201107/18E_11w/01318E_11wW2020110700394983SV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV18814 - Image
11/06/2020 23:38:23
http://10.37.248.147/njta/202011/20201106/006_07w/013006_07wW2020110623382336SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV20449 - Image
11/06/2020 23:31:56
http://10.37.248.147/njta/202011/20201106/012_11w/013012_11wW2020110623315683SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV14805 - Image
11/06/2020 23:17:10
http://10.37.248.147/njta/202011/20201106/012_11w/013012_11wW2020110623171083SV_02.jpg
 11w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV38985 - Image
11/06/2020 22:58:20
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110622582063SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36347 - Image
11/06/2020 22:38:44

 09w - 10 
OPEN
$18.20
$50.00
$0.00
$68.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38088 - Image
11/06/2020 23:32:36
http://10.37.248.147/drba/202011/20201106/DMB_11_/016DMB_11_W2020110623323600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38345 - Image
11/06/2020 18:01:52
http://10.37.248.147/drba/202011/20201106/DMB_10_/016DMB_10_W2020110618015200SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43504 - Image
11/06/2020 17:46:44
http://10.37.248.147/drba/202011/20201106/DMB_10_/016DMB_10_W2020110617464400SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV17727 - Image
11/06/2020 05:43:03
http://10.37.248.147/drba/202011/20201106/DMB_10_/016DMB_10_W2020110605430300SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20860 - Image
11/06/2020 22:34:02
http://10.37.248.147/njta/202011/20201106/006_07w/013006_07wW2020110622340255SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV02254 - Image
11/06/2020 22:01:41
http://10.37.248.147/njta/202011/20201106/006_07w/013006_07wW2020110622014166SV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV14825 - Image
11/06/2020 21:55:19
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110621551961SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37198 - Image
11/06/2020 21:38:17

 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV13490 - Image
11/06/2020 21:34:49
http://10.37.248.147/njta/202011/20201106/012_13w/013012_13wW2020110621344978SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43627 - Image
11/06/2020 21:58:30
http://10.37.248.147/drba/202011/20201106/DMB_09_/016DMB_09_W2020110621583000SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36717 - Image
11/06/2020 17:34:32
http://10.37.248.147/drba/202011/20201106/DMB_03_/016DMB_03_W2020110617343200SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV20981 - Image
11/06/2020 16:46:15
http://10.37.248.147/drba/202011/20201106/DMB_03_/016DMB_03_W2020110616461500SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV46129 - Image
11/06/2020 12:43:06
http://10.37.248.147/drba/202011/20201106/DMB_04_/016DMB_04_W2020110612430600SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV20660 - Image
11/06/2020 02:37:00
http://10.37.248.147/drba/202011/20201106/DMB_10_/016DMB_10_W2020110602370000SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43123 - Image
11/06/2020 21:22:27
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110621222755SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV13426 - Image
11/06/2020 11:10:09
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110611100958SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV15043 - Image
11/06/2020 05:05:55
http://10.37.248.147/drjt/202011/20201106/ODW_21W/020ODW_21WN2020110605055560SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37436 - Image
11/06/2020 20:59:49
http://10.37.248.147/njta/202011/20201106/014_26w/013014_26wW2020110620594971SV_02.jpg
 26w - 14 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV37938 - Image
11/06/2020 20:28:53
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110620285321SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV36515 - Image
11/06/2020 20:26:58
http://10.37.248.147/njta/202011/20201106/004_07w/013004_07wW2020110620265882SV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV13365 - Image
11/06/2020 20:20:21
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110620202143SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38293 - Image
11/06/2020 19:45:33

 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40476 - Image
11/06/2020 20:11:37
http://10.37.248.147/drjt/202011/20201106/ODW_21W/020ODW_21WN2020110620113763SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV39545 - Image
11/06/2020 19:51:15
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110619511561SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV37711 - Image
11/06/2020 18:41:56
http://10.37.248.147/drjt/202011/20201106/I78_03W/020I78_03WN2020110618415637SV_02.jpg
 03W - I78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV19941 - Image
11/06/2020 17:04:56
http://10.37.248.147/drjt/202011/20201106/O78_11W/020O78_11WN2020110617045617SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
